Date,Type,Description,Days
05 Jun 2020,AA,Full accounts made up to 31 October 2019,243
16 Apr 2019,AA,Full accounts made up to 31 October 2018,608
23 Apr 2018,AA,Full accounts made up to 31 October 2017,973
05 May 2017,AA,Full accounts made up to 31 October 2016,1338
03 Aug 2016,AA,Full accounts made up to 31 October 2015,1704
23 Jul 2015,AA,Full accounts made up to 31 October 2014,2069
31 Jul 2014,AA,Full accounts made up to 31 October 2013,2434
25 Feb 2013,AA,Full accounts made up to 31 October 2012,2799
10 Jul 2012,AA,Full accounts made up to 31 October 2011,3165
25 Feb 2011,AA,Full accounts made up to 31 October 2010,3530
13 Jul 2010,AA,Full accounts made up to 31 October 2009,3895
22 Jul 2009,AA,Full accounts made up to 31 October 2008,4260
22 Aug 2008,AA,Full accounts made up to 31 October 2007,4626
23 Jul 2007,AA,Full accounts made up to 31 October 2006,4991
16 Aug 2006,AA,Full accounts made up to 31 October 2005,5356
07 Sep 2005,AA,Full accounts made up to 31 October 2004,5721
29 Dec 2003,AA,Full accounts made up to 31 October 2003,6087
29 Dec 2003,AA,Full accounts made up to 31 October 2002,6452
04 Sep 2002,AA,Full accounts made up to 31 October 2001,6817
31 Aug 2001,AA,Full accounts made up to 31 October 2000,7182
14 Jul 2000,AA,Full accounts made up to 31 October 1999,7548
31 Aug 1999,AA,Full accounts made up to 31 October 1998,7913
03 Nov 1998,AA,Full accounts made up to 31 October 1997,8278
