Date,Type,Description,Days
02 Oct 2019,AA,Full accounts made up to 4 January 2019,543
12 Jul 2018,AA,Full accounts made up to 3 November 2017,970
15 May 2017,AA,Full accounts made up to 28 October 2016,1341
03 May 2016,AA,Full accounts made up to 30 October 2015,1705
07 Jun 2015,AA,Full accounts made up to 31 October 2014,2069
25 Apr 2014,AA,Full accounts made up to 1 November 2013,2433
13 May 2013,AA,Full accounts made up to 2 November 2012,2797
24 Jul 2012,AA,Full accounts made up to 28 October 2011,3168
21 Apr 2011,AA,Full accounts made up to 29 October 2010,3532
29 Jul 2010,AA,Full accounts made up to 30 October 2009,3896
31 Mar 2009,AA,Full accounts made up to 31 October 2008,4260
23 Jul 2008,AA,Full accounts made up to 26 October 2007,4631
07 Jun 2007,AA,Full accounts made up to 27 October 2006,4995
19 Jun 2006,AA,Full accounts made up to 28 October 2005,5359
07 Sep 2005,AA,Full accounts made up to 29 October 2004,5723
23 Aug 2004,AA,Full accounts made up to 31 October 2003,6087
24 Mar 2003,AA,Full accounts made up to 1 November 2002,6451
