Date,Type,Description,Days
06 Sep 2010,AA,Full accounts made up to 31 December 2009,3834
10 Aug 2009,AA,Full accounts made up to 31 December 2008,4199
09 Oct 2008,AA,Full accounts made up to 31 December 2007,4565
27 Oct 2007,AA,Full accounts made up to 31 December 2006,4930
31 Oct 2006,AA,Full accounts made up to 1 January 2006,5294
22 Jul 2005,AA,Full accounts made up to 2 January 2005,5658
09 Jul 2004,AA,Full accounts made up to 4 January 2004,6022
15 Jul 2003,AA,Full accounts made up to 29 December 2002,6393
18 Oct 2002,AA,Full accounts made up to 30 December 2001,6757
06 Jun 2001,AA,Full accounts made up to 31 December 2000,7121
18 May 2000,AA,Full accounts made up to 2 January 2000,7485
23 May 1999,AA,Full accounts made up to 3 January 1999,7849
17 Jul 1998,AA,Full accounts made up to 28 December 1997,8220
27 Jun 1997,AA,Full accounts made up to 29 December 1996,8584
28 Aug 1996,AA,Full accounts made up to 31 December 1995,8948
