Date,Type,Description,Days
12 Oct 2020,AA,Full accounts made up to 31 December 2019,182
31 Oct 2019,AA,Full accounts made up to 31 December 2018,547
09 Apr 2018,AA,Full accounts made up to 30 September 2017,1004
06 Apr 2017,AA,Full accounts made up to 30 September 2016,1369
30 Mar 2016,AA,Full accounts made up to 30 September 2015,1735
13 Apr 2015,AA,Full accounts made up to 30 September 2014,2100
03 Apr 2014,AA,Full accounts made up to 30 September 2013,2465
08 Apr 2013,AA,Full accounts made up to 30 September 2012,2830
03 Apr 2012,AA,Full accounts made up to 30 September 2011,3196
22 Mar 2011,AA,Full accounts made up to 30 September 2010,3561
01 Apr 2010,AA,Full accounts made up to 30 September 2009,3926
07 May 2009,AA,Full accounts made up to 30 September 2008,4291
30 Apr 2008,AA,Full accounts made up to 30 September 2007,4657
08 May 2007,AA,Full accounts made up to 30 September 2006,5022
14 Mar 2006,AA,Full accounts made up to 30 September 2005,5387
15 Jun 2005,AA,Full accounts made up to 30 September 2004,5752
09 Feb 2004,AA,Full accounts made up to 30 September 2003,6118
10 Mar 2003,AA,Full accounts made up to 30 September 2002,6483
12 Feb 2002,AA,Full accounts made up to 30 September 2001,6848
29 Jun 2001,AA,Full group accounts made up to 30 September 2000,7213
18 Apr 2000,AA,Full group accounts made up to 30 September 1999,7579
29 Apr 1999,AA,Full group accounts made up to 30 September 1998,7944
06 Apr 1998,AA,Full accounts made up to 30 September 1997,8309
