Date,Type,Description,Days
16 Oct 2020,AA,Full accounts made up to 31 March 2020,91
16 Apr 2020,AA,Full accounts made up to 31 March 2019,457
19 Nov 2018,AA,Full accounts made up to 31 March 2018,822
06 Oct 2017,AA,Full accounts made up to 31 March 2017,1187
08 Oct 2016,AA,Full accounts made up to 31 March 2016,1552
07 Aug 2015,AA,Full accounts made up to 31 March 2015,1918
19 Sep 2014,AA,Full accounts made up to 31 March 2014,2283
04 Oct 2013,AA,Full accounts made up to 31 March 2013,2648
18 Sep 2012,AA,Full accounts made up to 31 March 2012,3013
06 Jul 2011,AA,Full accounts made up to 31 March 2011,3379
05 Oct 2010,AA,Full accounts made up to 31 March 2010,3744
04 Dec 2009,AA,Full accounts made up to 31 March 2009,4109
01 Dec 2008,AA,Full accounts made up to 31 March 2008,4474
04 Nov 2007,AA,Full accounts made up to 31 March 2007,4840
14 Dec 2005,AA,Full accounts made up to 30 September 2005,5387
26 Jan 2005,AA,Full accounts made up to 30 September 2004,5752
18 Mar 2004,AA,Full accounts made up to 30 September 2003,6118
31 Mar 2003,AA,Full accounts made up to 30 September 2002,6483
01 May 2002,AA,Full accounts made up to 30 September 2001,6848
29 Mar 2001,AA,Full accounts made up to 30 September 2000,7213
16 Jun 2000,AA,Full accounts made up to 30 September 1999,7579
