Date,Type,Description,Days
12 Dec 2019,AA,Full accounts made up to 30 June 2019,366
06 Feb 2019,AA,Full accounts made up to 1 July 2018,730
02 Jan 2018,AA,Full accounts made up to 2 July 2017,1094
16 Jan 2017,AA,Full accounts made up to 26 June 2016,1465
16 Oct 2015,AA,Full accounts made up to 25 January 2015,1983
04 Nov 2014,AA,Full accounts made up to 26 January 2014,2347
30 Oct 2013,AA,Full accounts made up to 27 January 2013,2711
02 Nov 2012,AA,Full accounts made up to 29 January 2012,3075
31 Oct 2011,AA,Full accounts made up to 30 January 2011,3439
13 Aug 2010,AA,Full accounts made up to 31 January 2010,3803
03 Jul 2009,AA,Full accounts made up to 25 January 2009,4174
07 Jul 2008,AA,Full accounts made up to 27 January 2008,4538
26 Nov 2007,AA,Full accounts made up to 28 January 2007,4902
05 Dec 2006,AA,Full accounts made up to 29 January 2006,5266
07 Dec 2005,AA,Full accounts made up to 30 January 2005,5630
03 Dec 2004,AA,Full accounts made up to 1 February 2004,5994
19 Dec 2003,AA,Full accounts made up to 2 February 2003,6358
05 Aug 2002,AA,Full accounts made up to 31 January 2002,6725
09 Aug 2001,AA,Full accounts made up to 31 January 2001,7090
06 Nov 2000,AA,Full accounts made up to 31 January 2000,7456
30 Sep 1999,AA,Full accounts made up to 31 January 1999,7821
