Date,Type,Description,Days
27 Nov 2019,AA,Full accounts made up to 31 December 2018,547
26 Sep 2018,AA,Full accounts made up to 31 December 2017,912
02 Sep 2017,AA,Full accounts made up to 31 December 2016,1277
01 Oct 2016,AA,Full accounts made up to 31 December 2015,1643
14 Sep 2015,AA,Full accounts made up to 31 December 2014,2008
06 Oct 2014,AA,Full accounts made up to 31 December 2013,2373
04 Oct 2013,AA,Full accounts made up to 31 December 2012,2738
03 Sep 2012,AA,Full accounts made up to 31 December 2011,3104
06 Oct 2011,AA,Full accounts made up to 31 December 2010,3469
17 Sep 2010,AA,Full accounts made up to 31 December 2009,3834
30 Oct 2009,AA,Full accounts made up to 31 December 2008,4199
22 Oct 2008,AA,Full accounts made up to 31 December 2007,4565
26 Feb 2008,AA,Full accounts made up to 31 December 2006,4930
05 Nov 2006,AA,Full accounts made up to 31 December 2005,5295
01 Mar 2006,AA,Full accounts made up to 31 December 2004,5660
01 Oct 2004,AA,Full accounts made up to 31 December 2003,6026
08 Apr 2003,AA,Full accounts made up to 31 December 2002,6391
29 Jul 2002,AA,Full accounts made up to 31 December 2001,6756
05 Oct 2001,AA,Full accounts made up to 31 December 2000,7121
18 Aug 2000,AA,Full accounts made up to 31 December 1999,7487
17 Jun 1999,AA,Full accounts made up to 31 December 1998,7852
08 Oct 1998,AA,Full accounts made up to 31 December 1997,8217
