Date,Type,Description,Days
06 Sep 2019,AA,Full accounts made up to 31 December 2018,547
30 May 2018,AA,Full accounts made up to 31 December 2017,912
20 Sep 2017,AA,Full accounts made up to 31 December 2016,1277
02 Oct 2016,AA,Full accounts made up to 31 December 2015,1643
14 Jul 2015,AA,Full accounts made up to 31 December 2014,2008
15 Sep 2014,AA,Full accounts made up to 31 December 2013,2373
17 Sep 2013,AA,Full accounts made up to 31 December 2012,2738
28 Aug 2012,AA,Full accounts made up to 31 December 2011,3104
13 Sep 2011,AA,Full accounts made up to 31 December 2010,3469
15 Mar 2010,AA,Full accounts made up to 31 December 2009,3834
15 Jun 2009,AA,Full accounts made up to 31 December 2008,4199
04 Jun 2008,AA,Full accounts made up to 31 December 2007,4565
10 Jan 2007,AA,Full accounts made up to 30 September 2006,5022
20 Dec 2005,AA,Full accounts made up to 30 September 2005,5387
21 Dec 2004,AA,Full accounts made up to 30 September 2004,5752
09 Dec 2003,AA,Full accounts made up to 30 September 2003,6118
23 Dec 2002,AA,Full accounts made up to 30 September 2002,6483
31 Dec 2001,AA,Full accounts made up to 30 September 2001,6848
02 Jan 2001,AA,Full accounts made up to 30 September 2000,7213
04 Jan 2000,AA,Full accounts made up to 30 September 1999,7579
10 Jun 1999,AA,Full accounts made up to 30 September 1998,7944
23 Nov 1998,AA,Full accounts made up to 31 December 1997,8217
02 Feb 1998,AA,Full accounts made up to 31 December 1996,8582
