Date,Type,Description,Days
27 Sep 2019,AA,Full accounts made up to 31 March 2019,457
21 Dec 2018,AA,Full accounts made up to 31 March 2018,822
24 Aug 2017,AA,Full accounts made up to 31 March 2017,1187
26 Aug 2016,AA,Full accounts made up to 31 March 2016,1552
24 Sep 2015,AA,Full accounts made up to 31 March 2015,1918
03 Dec 2014,AA,Full accounts made up to 31 March 2014,2283
04 Dec 2013,AA,Full accounts made up to 31 March 2013,2648
13 Dec 2012,AA,Full accounts made up to 31 March 2012,3013
20 Sep 2011,AA,Full accounts made up to 31 March 2011,3379
11 Oct 2010,AA,Full accounts made up to 31 March 2010,3744
15 Jan 2010,AA,Full accounts made up to 31 March 2009,4109
10 Mar 2009,AA,Full accounts made up to 31 March 2008,4474
06 Jul 2007,AA,Full accounts made up to 31 March 2007,4840
31 Jul 2006,AA,Full accounts made up to 31 March 2006,5205
01 Aug 2005,AA,Full accounts made up to 31 March 2005,5570
30 Oct 2004,AA,Full accounts made up to 31 March 2004,5935
22 Nov 2003,AA,Full accounts made up to 31 March 2003,6301
23 Oct 2002,AA,Full accounts made up to 31 March 2002,6666
18 Dec 2001,AA,Full accounts made up to 31 March 2001,7031
19 Sep 2000,AA,Full accounts made up to 31 March 2000,7396
05 Jan 2000,AA,Full accounts made up to 31 March 1999,7762
11 Sep 1998,AA,Full accounts made up to 31 March 1998,8127
09 Sep 1997,AA,Full accounts made up to 31 March 1997,8492
27 Sep 1996,AA,Full accounts made up to 31 March 1996,8857
04 Sep 1995,AA,Full accounts made up to 31 March 1995,9223
