Date,Type,Description,Days
03 Aug 2020,AA,Full accounts made up to 31 December 2019,182
22 May 2018,AA,Full accounts made up to 31 December 2017,912
05 Jun 2009,AA,Full accounts made up to 31 December 2008,4199
02 Nov 2008,AA,Full accounts made up to 31 December 2007,4565
04 Apr 2007,AA,Full accounts made up to 31 December 2006,4930
13 Jul 2006,AA,Full accounts made up to 31 December 2005,5295
16 Jun 2005,AA,Full accounts made up to 31 December 2004,5660
03 Jun 2004,AA,Full accounts made up to 31 December 2003,6026
15 Oct 2003,AA,Full accounts made up to 31 December 2002,6391
30 Oct 2002,AA,Full accounts made up to 31 December 2001,6756
31 Oct 2000,AA,Full accounts made up to 31 December 1999,7487
26 Oct 1999,AA,Full accounts made up to 31 December 1998,7852
14 Oct 1998,AA,Full accounts made up to 31 December 1997,8217
23 Oct 1997,AA,Full accounts made up to 31 December 1996,8582
11 Jun 1996,AA,Full accounts made up to 31 December 1995,8948
