Date,Type,Description,Days
08 Oct 2019,AA,Full accounts made up to 31 December 2018,547
04 Dec 2018,AA,Full accounts made up to 31 December 2017,912
03 Oct 2017,AA,Full accounts made up to 31 December 2016,1277
27 Jun 2016,AA,Full accounts made up to 26 September 2015,1739
07 Jun 2015,AA,Full accounts made up to 27 September 2014,2103
30 May 2014,AA,Full accounts made up to 28 September 2013,2467
27 Jun 2013,AA,Full accounts made up to 29 September 2012,2831
22 Jun 2012,AA,Full accounts made up to 24 September 2011,3202
27 Aug 2010,AA,Full accounts made up to 26 September 2009,3930
15 May 2009,AA,Full accounts made up to 27 September 2008,4294
09 May 2008,AA,Full accounts made up to 29 September 2007,4658
24 Jul 2007,AA,Full accounts made up to 30 September 2006,5022
03 Jan 2006,AA,Full accounts made up to 25 September 2005,5392
