Date,Type,Description,Days
23 Jan 2020,AA,Full accounts made up to 27 June 2019,369
04 Apr 2019,AA,Full accounts made up to 28 June 2018,733
14 Feb 2018,AA,Full accounts made up to 29 June 2017,1097
06 Apr 2017,AA,Full accounts made up to 30 June 2016,1461
18 Mar 2016,AA,Full accounts made up to 25 June 2015,1832
15 Apr 2015,AA,Full accounts made up to 26 June 2014,2196
04 Apr 2014,AA,Full accounts made up to 27 June 2013,2560
05 Apr 2013,AA,Full accounts made up to 28 June 2012,2924
27 Mar 2012,AA,Full accounts made up to 30 June 2011,3288
05 Apr 2011,AA,Full accounts made up to 1 July 2010,3652
30 Nov 2009,AA,Full accounts made up to 27 June 2009,4021
19 Nov 2008,AA,Full accounts made up to 28 June 2008,4385
15 Nov 2007,AA,Full accounts made up to 30 June 2007,4749
28 Apr 2007,AA,Full accounts made up to 24 June 2006,5120
24 Apr 2006,AA,Full accounts made up to 25 June 2005,5484
11 Oct 2004,AA,Full accounts made up to 26 June 2004,5848
19 Oct 2003,AA,Full accounts made up to 30 June 2003,6210
27 Apr 2003,AA,Full accounts made up to 30 June 2002,6575
09 Oct 2001,AA,Full accounts made up to 30 June 2001,6940
29 Aug 2001,AA,Full accounts made up to 30 June 2000,7305
06 Mar 2000,AA,Full accounts made up to 30 June 1999,7671
31 Mar 1999,AA,Full accounts made up to 30 June 1998,8036
11 Mar 1998,AA,Full accounts made up to 30 June 1997,8401
